"obs_id","obs_name","lat","lon","gov_agency","attn_level","warn_level","danger_level","river","rel_river","opened_at","first_at","last_at","data_key","created_at","updated_at"
"1001602","평창군(송정교)","37.62416666666667","128.5511111111111","환경부","3.1","4.1","5.0","오대천","한강","2015-12-30","2015123010:00:00","2024080713:00:00","2024080714:01:29","2015123010:00:00","2024080713:00:00"
"1001620","정선군(송계교)","37.494166666666665","128.8491666666667","환경부","1.5","2.7","3.1","임계천","한강","1962-07-01","1972081902:00:00","2024080713:00:00","2024080714:01:29","1972081902:00:00","2024080713:00:00"
"1001622","정선군(혈천교)","37.46472222222223","128.84694444444446","환경부","3.0","4.4","5.5","골지천","한강","2010-11-11","2010122112:00:00","2024080713:00:00","2024080714:01:29","2010122112:00:00","2024080713:00:00"
"1001625","정선군(송천교)","37.48555555555556","128.7186111111111","환경부","3.4","3.6","4.7","송천","한강","2007-07-18","2007051416:00:00","2024080713:00:00","2024080714:01:29","2007051416:00:00","2024080713:00:00"
"1001626","정선군(제1여량교)","37.473333333333336","128.72916666666666","환경부","4.0","5.2","6.5","골지천","한강","2015-12-30","2015123010:00:00","2024080713:00:00","2024080714:01:29","2015123010:00:00","2024080713:00:00"
"1001629","정선군(남평대교)","37.43888888888888","128.65305555555557","환경부","4.5","5.5","6.5","골지천","한강","2015-12-30","2015123010:00:00","2024080713:00:00","2024080714:01:29","2015123010:00:00","2024080713:00:00"
"1001630","정선군(나전교)","37.43861111111111","128.6497222222222","환경부","3.0","4.0","5.0","오대천","한강","2007-07-18","2007051416:00:00","2024080713:00:00","2024080714:01:29","2007051416:00:00","2024080713:00:00"
"1001645","정선군(와평교)","37.36611111111111","128.68416666666667","환경부","3.5","4.0","4.5","어천","한강","2014-12-29","2014122912:00:00","2024080713:00:00","2024080714:01:29","2014122912:00:00","2024080713:00:00"
"1001649","정선군(애산교)","37.373333333333335","128.67083333333332","환경부","3.0","4.2","5.1","어천","한강","2007-12-09","2008020411:00:00","2024080713:00:00","2024080714:01:29","2008020411:00:00","2024080713:00:00"
"1001655","정선군(정선제1교)","37.37833333333333","128.65722222222223","환경부","3.5","4.5","6.0","한강","한강","1918-01-01","1970070515:00:00","2024080713:00:00","2024080714:01:29","1970070515:00:00","2024080713:00:00"
"1001658","정선군(광하교)","37.36972222222222","128.6188888888889","환경부","5.5","6.7","8.8","한강","한강","2013-12-31","2013122711:00:00","2024080713:00:00","2024080714:01:29","2013122711:00:00","2024080713:00:00"
"1001660","정선군(낙동교)","37.31888888888889","128.69361111111112","환경부","2.0","3.0","3.5","지장천","한강","2009-10-27","2009102700:00:00","2024080713:00:00","2024080714:01:29","2009102700:00:00","2024080713:00:00"
"1001670","영월군(거운교)","37.234722222222224","128.51222222222222","환경부","3.5","8.0","10.3","한강","한강","1962-12-01","1972081908:00:00","2024080713:00:00","2024080714:01:29","1972081908:00:00","2024080713:00:00"
"1001690","영월군(영월대교)","37.18194444444444","128.4752777777778","환경부","4.6","6.0","8.0","한강","한강","1917-06-01","1917090418:00:00","2024080713:00:00","2024080714:01:29","1917090418:00:00","2024080713:00:00"
"1002605","평창군(이목정교)","37.62138888888889","128.47194444444446","환경부","2.5","3.5","4.0","속사천","한강","1982-04-01","1983060108:00:00","2024080713:00:00","2024080714:01:29","1983060108:00:00","2024080713:00:00"
