"obs_id","rel_river","opened_at","first_at","last_at"
"10014010","한강","1916-01-01","19830701","20240722"
"10014020","한강","1916-07-01","19800604","20240722"
"10014070","한강","1983-07-01","19830725","19901024"
"10014080","한강","1983-07-01","19830714","20240722"
"10014090","한강","1983-07-01","19830702","20240722"
"10014100","한강","1983-07-01","19830701","20240722"
"10014110","한강","1985-08-30","19851009","20240722"
"10014120","한강","1985-12-01","19860718","20240722"
"10014130","한강","1985-12-01","19860718","20240722"
"10014140","한강","1985-12-01","19860718","20240722"
"10014150","한강","1985-12-01","19860718","20240722"
"10014160","한강","1985-12-01","19860718","20240722"
"10014170","한강","1985-12-01","19860718","20240722"
"10014180","한강","1985-12-01","19860718","20240722"
"10014190","한강","1989-01-01","20150512","20240722"
"10014197","한강","2007-12-10","20150512","20240722"
"10014200","한강","1992-07-01","19930904","20240722"
"10014210","한강","1992-07-01","19930904","20240722"
"10014220","한강","1992-07-01","19940401","20240722"
"10014230","한강","1992-07-01","19940401","20240722"
"10014240","한강","1992-07-01","19940401","20240722"
"10014250","한강","1970-01-00","20080804","20080804"
"10014260","한강","2013-11-30","20131130","20240722"
"10024010","한강","1915-01-14","19840606","20240722"
"10024060","한강","1964-06-14","19810901","20240722"
"10024070","한강","2003-10-01","NULL","NULL"
"10024080","한강","1990-03-12","19900402","20080501"
"10024090","한강","1982-07-14","19820716","20240722"
"10024100","한강","1982-07-01","19820701","20240722"
"10024110","한강","1982-07-14","19820716","20240722"
"10024120","한강","1982-07-01","19820702","20240722"
"10024130","한강","1982-07-14","19820724","20240722"
"10024140","한강","1982-07-14","19820716","20240722"
"10024150","한강","1982-07-14","19820716","20240722"
"10024160","한강","1982-07-01","19820702","20240722"
"10024170","한강","1985-12-01","19860718","20240722"
"10024180","한강","1985-12-01","19860718","20240722"
"10024190","한강","1985-12-01","19860718","20240722"
"10024200","한강","1985-12-01","19860718","20240722"
"10024210","한강","1985-12-01","19860718","20240722"
"10024220","한강","1985-12-01","19860718","20240722"
"10024230","한강","1985-12-01","19860718","20240722"
"10024240","한강","1992-07-01","19930904","20240722"
"10024250","한강","1992-07-01","19930904","20240722"
"10024260","한강","1992-07-01","19930904","20240722"
"10034050","한강","1962-07-01","19760802","20240722"
"10034060","한강","1984-03-05","19870601","20240722"
"10034070","한강","1984-03-05","19901105","20240722"
"10034080","한강","1985-12-01","19860718","20240722"
"10034090","한강","1985-12-01","19860718","20240722"
"10034100","한강","1985-12-01","19860718","20240722"
"10034110","한강","1985-12-01","19860718","20240722"
"10034120","한강","1985-12-01","19860718","20240722"
"10034130","한강","1985-12-01","19860718","20240722"
"10034140","한강","2018-07-12","20180712","20240722"
"10034150","한강","1992-07-01","19930904","20240722"
"10034160","한강","1992-07-01","19930904","20240722"
"10034170","한강","1992-07-01","19930904","20240722"
"10034180","한강","1992-07-01","19930904","20240722"
"10044010","한강","1960-08-01","19750716","20240722"
"10044020","한강","1962-07-01","19760607","20240722"
"10044030","한강","1962-07-01","19760607","20240722"
