"obs_id","obs_name","lat","lon","gov_agency","addr","etc_addr"
"10014010","평창군(월정분교)","37-42-34","128-35-57","환경부","강원특별자치도 평창군","진부면 내동산길 4 진부초등학교 월정분교(폐교)"
"10014020","정선군(정선군2청사)","37-23-03","128-40-25","환경부","강원특별자치도 정선군","정선읍 녹송4길 71 정선군 제2청사"
"10014070","상원사","37-45-43","128-34-46","환경부","강원도 평창군 진부면","동산 오대산장"
"10014080","강릉시(대기리)","37-35-10","128-46-39","환경부","강원특별자치도 강릉시","왕산면 대기리 922-1"
"10014090","정선군(고한읍사무소)","37-12-15","128-51-06","환경부","강원특별자치도 정선군","고한읍 고한2길 1 고한읍행정복지센터"
"10014100","삼척시(번천리)","37-21-57","128-59-50","환경부","강원특별자치도 삼척시","하장면 번천리 125-1"
"10014110","평창군(상진부리)","37-39-32","128-34-41","한국수자원공사","강원특별자치도 평창군","진부면 상진부리 42-4"
"10014120","평창군(수하리)","37-39-33","128-42-27","한국수자원공사","강원특별자치도 평창군","도암면 수하리 142-1"
"10014130","정선군(애산리)","37-23-10","128-42-07","한국수자원공사","강원특별자치도 정선군","정선읍 애산리 113-5"
"10014140","정선군(송계리)","37-29-39","128-49-12","한국수자원공사","강원특별자치도 정선군","임계면 송계1리 887-2"
"10014150","정선군(직전리)","37-14-05","128-49-10","한국수자원공사","강원특별자치도 정선군","사북읍 직전리 산588-2"
"10014160","평창군(율치리)","37-19-30","128-29-33","한국수자원공사","강원특별자치도 평창군","미탄면 율치리 산20-4"
"10014170","강릉시(대기리2)","37-34-23","128-44-39","한국수자원공사","강원특별자치도 강릉시","왕산면 대기3리 산1656"
"10014180","삼척시(광동리)","37-21-00","128-56-12","한국수자원공사","강원특별자치도 삼척시","하장면 광동리 120"
"10014190","삼척시(광동댐)","37-20-12","128-58-01","한국수자원공사","강원특별자치도 삼척시","하장면 숙암리 산104"
"10014197","태백시(상사미동)","37-16-49","128-59-30","한국수자원공사","강원특별자치도 태백시","삼수동 2통 1반"
"10014200","평창군(회동리)","37-21-51","128-29-14","한국수자원공사","강원특별자치도 평창군","미탄면 회동리 619"
"10014210","평창군(수항리)","37-33-40","128-34-03","한국수자원공사","강원특별자치도 평창군","진부면 수항리 96-1"
"10014220","정선군(문곡리)","37-16-06","128-40-43","한국수자원공사","강원특별자치도 정선군","남면 문곡리 273-2"
"10014230","정선군(유천리)","37-29-14","128-43-43","한국수자원공사","강원특별자치도 정선군 여량면","노추산로 205"
"10014240","정선군(덕암리)","37-21-26","128-50-03","한국수자원공사","강원특별자치도 정선군","임계면 덕암리 305-3"
"10014250","원동","37-15-53","128-57-49","한국수자원공사","강원특별자치도 태백시","원동 41번지"
