"obs_id","river","rel_river","opened_at","first_at","last_at"
"1001602","오대천","한강","2015-12-30","2015123010:00:00","2024072415:00:00"
"1001603","NULL","한강","2005-05-01","2015080416:00:00","2024072415:00:00"
"1001605","송천","한강","2013-11-30","2013113000:00:00","2024072415:00:00"
"1001607","NULL","한강","2006-11-01","2015080416:00:00","2024072415:00:00"
"1001610","골지천","한강","1989-01-01","NULL","NULL"
"1001613","NULL","한강","2013-04-01","2015080416:00:00","2024072415:00:00"
"1001615","NULL","한강","2005-05-01","2015080416:00:00","2024072415:00:00"
"1001620","임계천","한강","1962-07-01","1972081902:00:00","2024072415:00:00"
"1001622","골지천","한강","2010-11-11","2010122112:00:00","2024072415:00:00"
"1001625","송천","한강","2007-07-18","2007051416:00:00","2024072415:00:00"
"1001626","골지천","한강","2015-12-30","2015123010:00:00","2024072415:00:00"
"1001629","골지천","한강","2015-12-30","2015123010:00:00","2024072415:00:00"
"1001630","오대천","한강","2007-07-18","2007051416:00:00","2024072415:00:00"
"1001640","한강","한강","1967-12-01","NULL","NULL"
"1001645","어천","한강","2014-12-29","2014122912:00:00","2024072415:00:00"
"1001647","NULL","한강","1918-01-01","1918070918:00:00","1964042007:00:00"
"1001649","어천","한강","2007-12-09","2008020411:00:00","2024072415:00:00"
"1001655","한강","한강","1918-01-01","1970070515:00:00","2024072415:00:00"
"1001658","한강","한강","2013-12-31","2013122711:00:00","2024072415:00:00"
"1001660","지장천","한강","2009-10-27","2009102700:00:00","2024072415:00:00"
"1001670","한강","한강","1962-12-01","1972081908:00:00","2024072415:00:00"
"1001680","한강","한강","1985-08-30","1984070301:00:00","2010051816:00:00"
"1001683","한강","한강","2008-03-28","2015070913:00:00","2024072415:00:00"
"1001690","한강","한강","1917-06-01","1917090418:00:00","2024072415:00:00"
"1002605","속사천","한강","1982-04-01","1983060108:00:00","2024072415:00:00"
"1002610","속사천","한강","1982-04-01","1983060201:00:00","2024072415:00:00"
"1002615","흥정천","한강","1982-04-01","1983061006:00:00","2024072415:00:00"
"1002625","평창강","한강","1982-04-01","1983060801:00:00","2024072415:00:00"
"1002630","평창강","한강","1962-07-01","1986071908:00:00","1986071916:00:00"
"1002635","대화천","한강","1982-04-01","1983060708:00:00","2024072415:00:00"
"1002640","평창강","한강","1982-04-01","1983060807:00:00","2024072415:00:00"
"1002650","NULL","한강","1958-01-01","1958090509:00:00","2024072415:00:00"
"1002655","평창강","한강","1992-07-06","1987060115:00:00","2024072415:00:00"
"1002675","주천강","한강","2006-10-23","2006120219:00:00","2024072415:00:00"
"1002680","주천강","한강","2013-12-31","2013122711:00:00","2024072415:00:00"
"1002685","주천강","한강","1962-07-01","1965071008:00:00","2024072415:00:00"
"1002687","주천강","한강","2007-07-18","2007051416:00:00","2024072415:00:00"
"1002690","주천강","한강","1962-07-01","1964041914:00:00","1986072000:00:00"
"1002693","문곡천","한강","2023-01-27","2023012716:00:00","2024072415:00:00"
"1002694","NULL","한강","2020-12-31","NULL","NULL"
"1002695","평창강","한강","1985-08-30","1975071004:00:00","2024072415:00:00"
